,APELLIDOS Y NOMBRE,BANCADA,REGIÓN,SEDE,Nº CASO,ACTUALIZACIÓN,SITUACIÓN,DELITO
1063,"LIZANA SANTOS, MÁRTIRES",Fuerza Popular,Piura,1º Fiscalia Superior Mixta De Piura,"02605060601-2004-
0002670000","May 14, 2004",CON DICTAMEN,ABUSO DE AUTORIDAD
1064,"TITO ORTEGA, ERWIN",Fuerza Popular,Junín,05º Fiscalia Provincial Penal De Huancayo,"02206010105-2000-
0005500000","Feb 10, 2004",CON DICTAMEN,ABUSO DE AUTORIDAD
1065,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,03º Fiscalia Superior Penal De Lambayeque,"02406070108-2003-
0002750001","Jan 28, 2004",CON DICTAMEN,ABUSO DE AUTORIDAD (OMISION Y REHUSRETARDACTOOFIC)
1066,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,13º Fiscalia Provincial En Lo Penal De Lima,"00506010146-2000-
0004200001","Oct 31, 2003",CON DICTAMEN,CONTRA EL PATRIMONIO
1067,"PUÑO LECARNAQUE, NAPOLEÓN",APP,Tumbes,1º Fiscalia Provincial Mixta De Tumbes,"03506090601-2003-
0000230000","Sep 16, 2003",INVESTIGACION POLICIAL,ABUSO DE AUTORIDAD
1068,"COSTA SANTOLALLA, GINO FRANCISCO",Morado,Lima,06º Fiscalia Provincial En Lo Penal De Lima-Norte,"00606010102-2001-
0005240000","Aug 29, 2003",CON RUBRICA,VIOLENCIA Y RESISTENCIA A LA AUTORIDAD
1069,"AYASTA DE DÍAZ, RITA ELENA",Fuerza Popular,Lambayeque,06º Fiscalia Provincial Penal De Chiclayo,"02406070106-2003-
0004430000","Aug 26, 2003",ARCHIVO DEFINITIVO,ABUSO DE AUTORIDAD
1070,"COSTA SANTOLALLA, GINO FRANCISCO",Morado,Lima,04º Fiscalia Especializada Anticorrupcion,"00507012905-2003-
0000160000","Aug 26, 2003",DERIVADO,CONTRA LA PAZ PUBLICA (ASOCIACION ILICITA)
1071,"CAYLLAHUA BARRIENTOS, WILMER",Frepap,Lima,01º Fiscalia Provincial Penal De Santa Anita,"03406010101-2003-
0009140000","Aug 5, 2003",FORMALIZACION,OMISION DE ASISTENCIA FAMILIAR (ABANDONO DE MUJER EMBARAZADA)
1072,"BURGA CHUQUIPIONDO, RICARDO MIGUEL",Acción Popular,Lima,13º Fiscalia Provincial En Lo Penal De Lima,"00506010146-2000-
0004200000","Jun 11, 2003",CON DICTAMEN,CONTRA EL PATRIMONIO
